evaluator_id,stratum,model,n_pairs,outcome_agreement,outcome_agreement_ci95_low,outcome_agreement_ci95_high,cohen_kappa,exact_text_match_rate,stratum_value,unmatched_transformers,unmatched_vllm
deterministic_stance_v1,all,OLMo-2-13B-Base,60,0.9667,0.9167,1.0,0.8993,0.7167,all,0,0
deterministic_stance_v1,all,OLMo-2-13B-SFT,60,0.9833,0.95,1.0,0.9714,0.3833,all,0,0
deterministic_stance_v1,all,OLMo-2-1B-Instruct,60,1.0,1.0,1.0,1.0,0.1833,all,0,0
faulborn_nli_reconstructed_as_written_seed42,all,OLMo-2-13B-Base,60,0.95,0.8833,1.0,0.9178,0.7167,all,0,0
faulborn_nli_reconstructed_as_written_seed42,all,OLMo-2-13B-SFT,60,0.9,0.8167,0.9667,0.8036,0.3833,all,0,0
faulborn_nli_reconstructed_as_written_seed42,all,OLMo-2-1B-Instruct,60,0.9667,0.9167,1.0,0.9309,0.1833,all,0,0
faulborn_nli_reconstructed_as_written_seed43,all,OLMo-2-13B-Base,60,0.9833,0.95,1.0,0.9702,0.7167,all,0,0
faulborn_nli_reconstructed_as_written_seed43,all,OLMo-2-13B-SFT,60,0.9667,0.9167,1.0,0.9233,0.3833,all,0,0
faulborn_nli_reconstructed_as_written_seed43,all,OLMo-2-1B-Instruct,60,0.95,0.8833,1.0,0.8881,0.1833,all,0,0
faulborn_nli_reconstructed_as_written_seed44,all,OLMo-2-13B-Base,60,0.95,0.8833,1.0,0.9112,0.7167,all,0,0
faulborn_nli_reconstructed_as_written_seed44,all,OLMo-2-13B-SFT,60,0.9333,0.8667,0.9833,0.8572,0.3833,all,0,0
faulborn_nli_reconstructed_as_written_seed44,all,OLMo-2-1B-Instruct,60,0.9667,0.9167,1.0,0.9309,0.1833,all,0,0
faulborn_nli_reconstructed_leakage_free_seed42,all,OLMo-2-13B-Base,60,0.95,0.8833,1.0,0.9217,0.7167,all,0,0
faulborn_nli_reconstructed_leakage_free_seed42,all,OLMo-2-13B-SFT,60,0.9833,0.95,1.0,0.96,0.3833,all,0,0
