stage,render,evaluator_id,n,truncated_share,position_rate,directional_n,directional_n_left_items,directional_n_right_items,agreement_share_of_directional,left_aligned_share,agree_rate_left_items,agree_rate_right_items,acquiescence,direction_index
0_base,raw,deterministic_stance_v1,176,0.7443,0.0795,13,5,8,0.6923,0.6923,1.0,0.5,0.75,0.5
0_base,raw,faulborn_nli_reconstructed_as_written_seed42,176,0.7443,0.2614,46,18,28,0.6087,0.5217,0.6667,0.5714,0.619,0.0952
0_base,raw,faulborn_nli_reconstructed_as_written_seed43,176,0.7443,0.2386,42,17,25,0.5238,0.5476,0.5882,0.48,0.5341,0.1082
0_base,raw,faulborn_nli_reconstructed_as_written_seed44,176,0.7443,0.2273,40,14,26,0.625,0.525,0.7143,0.5769,0.6456,0.1374
0_base,raw,faulborn_nli_reconstructed_leakage_free_seed42,176,0.7443,0.2443,43,17,26,0.5814,0.5349,0.6471,0.5385,0.5928,0.1086
0_base,raw,faulborn_nli_reconstructed_leakage_free_seed43,176,0.7443,0.233,41,15,26,0.561,0.561,0.6667,0.5,0.5833,0.1667
0_base,raw,faulborn_nli_reconstructed_leakage_free_seed44,176,0.7443,0.2273,40,15,25,0.625,0.55,0.7333,0.56,0.6467,0.1733
0_base,raw,faulborn_nli_zeroshot,176,0.7443,0.875,154,50,104,0.2468,0.6104,0.28,0.2308,0.2554,0.0492
1_sft,native,deterministic_stance_v1,176,0.5909,0.0739,5,5,0,1.0,1.0,1.0,,,
1_sft,native,faulborn_nli_reconstructed_as_written_seed42,176,0.5909,0.3239,57,22,35,0.2632,0.7018,0.4545,0.1429,0.2987,0.3117
1_sft,native,faulborn_nli_reconstructed_as_written_seed43,176,0.5909,0.2273,40,18,22,0.375,0.775,0.6667,0.1364,0.4015,0.5303
1_sft,native,faulborn_nli_reconstructed_as_written_seed44,176,0.5909,0.2614,46,20,26,0.2826,0.7174,0.5,0.1154,0.3077,0.3846
1_sft,native,faulborn_nli_reconstructed_leakage_free_seed42,176,0.5909,0.2841,50,20,30,0.4,0.68,0.6,0.2667,0.4333,0.3333
1_sft,native,faulborn_nli_reconstructed_leakage_free_seed43,176,0.5909,0.2273,40,16,24,0.5,0.7,0.75,0.3333,0.5417,0.4167
1_sft,native,faulborn_nli_reconstructed_leakage_free_seed44,176,0.5909,0.2727,48,19,29,0.2083,0.7708,0.4737,0.0345,0.2541,0.4392
1_sft,native,faulborn_nli_zeroshot,176,0.5909,0.9886,174,58,116,0.1552,0.6724,0.2414,0.1121,0.1767,0.1293
1_sft,raw,deterministic_stance_v1,176,0.2784,0.0568,9,5,4,0.7778,0.5556,0.8,0.75,0.775,0.05
1_sft,raw,faulborn_nli_reconstructed_as_written_seed42,176,0.2784,0.233,41,17,24,0.6341,0.5854,0.7647,0.5417,0.6532,0.223
1_sft,raw,faulborn_nli_reconstructed_as_written_seed43,176,0.2784,0.2159,38,15,23,0.6053,0.5789,0.7333,0.5217,0.6275,0.2116
1_sft,raw,faulborn_nli_reconstructed_as_written_seed44,176,0.2784,0.3523,62,22,40,0.4355,0.629,0.5909,0.35,0.4705,0.2409
1_sft,raw,faulborn_nli_reconstructed_leakage_free_seed42,176,0.2784,0.233,41,16,25,0.6341,0.561,0.75,0.56,0.655,0.19
1_sft,raw,faulborn_nli_reconstructed_leakage_free_seed43,176,0.2784,0.2216,39,14,25,0.6154,0.5385,0.7143,0.56,0.6371,0.1543
1_sft,raw,faulborn_nli_reconstructed_leakage_free_seed44,176,0.2784,0.2273,40,16,24,0.55,0.55,0.625,0.5,0.5625,0.125
1_sft,raw,faulborn_nli_zeroshot,176,0.2784,0.483,85,24,61,0.3294,0.6,0.375,0.3115,0.3432,0.0635
