evaluator_id,stage,render,metric,base_raw,stage_value,diff,ci95_low,ci95_high
deterministic_stance_v1,1_sft,native,position_rate,0.0795,0.0739,-0.0057,-0.0568,0.0398
deterministic_stance_v1,1_sft,native,left_aligned_share,0.6923,1.0,0.3077,0.0,0.6
deterministic_stance_v1,1_sft,native,acquiescence,0.75,,,,
deterministic_stance_v1,1_sft,native,direction_index,0.5,,,,
deterministic_stance_v1,1_sft,raw,position_rate,0.0795,0.0568,-0.0227,-0.0739,0.0284
deterministic_stance_v1,1_sft,raw,left_aligned_share,0.6923,0.5556,-0.1368,-0.5833,0.3036
deterministic_stance_v1,1_sft,raw,acquiescence,0.75,0.775,0.025,-0.3667,0.375
deterministic_stance_v1,1_sft,raw,direction_index,0.5,0.05,-0.45,-1.2,0.2884
faulborn_nli_reconstructed_as_written_seed42,1_sft,native,position_rate,0.2614,0.3239,0.0625,-0.0341,0.1649
faulborn_nli_reconstructed_as_written_seed42,1_sft,native,left_aligned_share,0.5217,0.7018,0.18,-0.0174,0.371
faulborn_nli_reconstructed_as_written_seed42,1_sft,native,acquiescence,0.619,0.2987,-0.3203,-0.4957,-0.1312
faulborn_nli_reconstructed_as_written_seed42,1_sft,native,direction_index,0.0952,0.3117,0.2165,-0.143,0.5845
faulborn_nli_reconstructed_as_written_seed42,1_sft,raw,position_rate,0.2614,0.233,-0.0284,-0.1193,0.0625
faulborn_nli_reconstructed_as_written_seed42,1_sft,raw,left_aligned_share,0.5217,0.5854,0.0636,-0.159,0.2905
faulborn_nli_reconstructed_as_written_seed42,1_sft,raw,acquiescence,0.619,0.6532,0.0341,-0.1543,0.2271
faulborn_nli_reconstructed_as_written_seed42,1_sft,raw,direction_index,0.0952,0.223,0.1278,-0.2458,0.5433
faulborn_nli_reconstructed_as_written_seed43,1_sft,native,position_rate,0.2386,0.2273,-0.0114,-0.0966,0.074
faulborn_nli_reconstructed_as_written_seed43,1_sft,native,left_aligned_share,0.5476,0.775,0.2274,0.0273,0.4375
faulborn_nli_reconstructed_as_written_seed43,1_sft,native,acquiescence,0.5341,0.4015,-0.1326,-0.333,0.0701
faulborn_nli_reconstructed_as_written_seed43,1_sft,native,direction_index,0.1082,0.5303,0.4221,0.0235,0.8518
faulborn_nli_reconstructed_as_written_seed43,1_sft,raw,position_rate,0.2386,0.2159,-0.0227,-0.108,0.0568
faulborn_nli_reconstructed_as_written_seed43,1_sft,raw,left_aligned_share,0.5476,0.5789,0.0313,-0.1765,0.2485
faulborn_nli_reconstructed_as_written_seed43,1_sft,raw,acquiescence,0.5341,0.6275,0.0934,-0.1057,0.2818
faulborn_nli_reconstructed_as_written_seed43,1_sft,raw,direction_index,0.1082,0.2116,0.1034,-0.2929,0.5422
faulborn_nli_reconstructed_as_written_seed44,1_sft,native,position_rate,0.2273,0.2614,0.0341,-0.0568,0.125
faulborn_nli_reconstructed_as_written_seed44,1_sft,native,left_aligned_share,0.525,0.7174,0.1924,-0.0298,0.425
faulborn_nli_reconstructed_as_written_seed44,1_sft,native,acquiescence,0.6456,0.3077,-0.3379,-0.5627,-0.115
faulborn_nli_reconstructed_as_written_seed44,1_sft,native,direction_index,0.1374,0.3846,0.2473,-0.2024,0.7124
faulborn_nli_reconstructed_as_written_seed44,1_sft,raw,position_rate,0.2273,0.3523,0.125,0.0341,0.2216
faulborn_nli_reconstructed_as_written_seed44,1_sft,raw,left_aligned_share,0.525,0.629,0.104,-0.1095,0.3301
faulborn_nli_reconstructed_as_written_seed44,1_sft,raw,acquiescence,0.6456,0.4705,-0.1751,-0.3818,0.0441
faulborn_nli_reconstructed_as_written_seed44,1_sft,raw,direction_index,0.1374,0.2409,0.1035,-0.3135,0.5622
faulborn_nli_reconstructed_leakage_free_seed42,1_sft,native,position_rate,0.2443,0.2841,0.0398,-0.0511,0.1364
faulborn_nli_reconstructed_leakage_free_seed42,1_sft,native,left_aligned_share,0.5349,0.68,0.1451,-0.048,0.3382
faulborn_nli_reconstructed_leakage_free_seed42,1_sft,native,acquiescence,0.5928,0.4333,-0.1594,-0.3558,0.0394
