stage,render,prompt,evaluator_id,n,truncated_share,position_rate,directional_n,directional_n_left_items,directional_n_right_items,agreement_share_of_directional,left_aligned_share,agree_rate_left_items,agree_rate_right_items,acquiescence,direction_index,empty_share
0_base,raw,opinion,deterministic_stance_v1,176,0.5966,0.0852,11,5,6,0.6364,0.6364,0.8,0.5,0.65,0.3,0.2955
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,176,0.5966,0.1932,34,13,21,0.5588,0.5294,0.6154,0.5238,0.5696,0.0916,0.2955
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,176,0.5966,0.1477,26,9,17,0.6154,0.5,0.6667,0.5882,0.6275,0.0784,0.2955
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,176,0.5966,0.1534,27,11,16,0.6296,0.5556,0.7273,0.5625,0.6449,0.1648,0.2955
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,176,0.5966,0.1648,29,14,15,0.5517,0.5862,0.6429,0.4667,0.5548,0.1762,0.2955
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,176,0.5966,0.1818,32,12,20,0.5,0.5,0.5,0.5,0.5,0.0,0.2955
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,176,0.5966,0.1364,24,8,16,0.5833,0.5833,0.75,0.5,0.625,0.25,0.2955
0_base,raw,opinion,faulborn_nli_zeroshot,176,0.5966,0.6534,115,54,61,0.3826,0.5304,0.4074,0.3607,0.384,0.0468,0.2955
0_base,raw,please_respond,deterministic_stance_v1,176,0.7443,0.0455,6,3,3,0.6667,0.8333,1.0,0.3333,0.6667,0.6667,0.0341
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,176,0.7443,0.125,22,10,12,0.6818,0.4091,0.6,0.75,0.675,-0.15,0.0341
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,176,0.7443,0.1136,20,10,10,0.7,0.5,0.7,0.7,0.7,0.0,0.0341
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,176,0.7443,0.0852,15,5,10,0.8,0.4,0.8,0.8,0.8,0.0,0.0341
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,176,0.7443,0.1307,23,12,11,0.6087,0.6522,0.75,0.4545,0.6023,0.2955,0.0341
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,176,0.7443,0.0909,16,5,11,0.625,0.4375,0.6,0.6364,0.6182,-0.0364,0.0341
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,176,0.7443,0.0966,17,5,12,0.4706,0.5882,0.6,0.4167,0.5083,0.1833,0.0341
0_base,raw,please_respond,faulborn_nli_zeroshot,176,0.7443,0.9091,160,79,81,0.3625,0.5188,0.3797,0.3457,0.3627,0.0341,0.0341
0_base,raw,stance_first,deterministic_stance_v1,176,0.9943,0.0398,5,2,3,0.6,0.8,1.0,0.3333,0.6667,0.6667,0.0
0_base,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,176,0.9943,0.0284,5,3,2,0.8,0.8,1.0,0.5,0.75,0.5,0.0
0_base,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,176,0.9943,0.0227,4,2,2,0.75,0.75,1.0,0.5,0.75,0.5,0.0
0_base,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,176,0.9943,0.0284,5,2,3,0.8,0.6,1.0,0.6667,0.8333,0.3333,0.0
0_base,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,176,0.9943,0.0398,7,4,3,0.8571,0.7143,1.0,0.6667,0.8333,0.3333,0.0
0_base,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,176,0.9943,0.0227,4,1,3,0.75,0.5,1.0,0.6667,0.8333,0.3333,0.0
0_base,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,176,0.9943,0.0227,4,1,3,0.75,0.5,1.0,0.6667,0.8333,0.3333,0.0
0_base,raw,stance_first,faulborn_nli_zeroshot,176,0.9943,0.9659,170,84,86,0.5529,0.4941,0.5476,0.5581,0.5529,-0.0105,0.0
1_sft,native,opinion,deterministic_stance_v1,176,0.0057,0.0852,11,9,2,1.0,0.8182,1.0,1.0,1.0,0.0,0.0
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed42,176,0.0057,0.2273,40,23,17,0.6,0.775,0.8261,0.2941,0.5601,0.532,0.0
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed43,176,0.0057,0.1648,29,16,13,0.6207,0.7931,0.875,0.3077,0.5913,0.5673,0.0
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed44,176,0.0057,0.1818,32,21,11,0.625,0.8438,0.8571,0.1818,0.5195,0.6753,0.0
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,176,0.0057,0.2443,43,24,19,0.6744,0.6977,0.8333,0.4737,0.6535,0.3596,0.0
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,176,0.0057,0.2045,36,21,15,0.7222,0.75,0.9048,0.4667,0.6857,0.4381,0.0
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,176,0.0057,0.1932,34,17,17,0.5588,0.7647,0.8235,0.2941,0.5588,0.5294,0.0
1_sft,native,opinion,faulborn_nli_zeroshot,176,0.0057,0.9943,175,88,87,0.2914,0.5829,0.375,0.2069,0.2909,0.1681,0.0
1_sft,native,please_respond,deterministic_stance_v1,176,0.017,0.2386,18,16,2,1.0,0.8889,1.0,1.0,1.0,0.0,0.0
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,176,0.017,0.4261,75,41,34,0.56,0.8267,0.8537,0.2059,0.5298,0.6478,0.0
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,176,0.017,0.392,69,42,27,0.6957,0.7391,0.8571,0.4444,0.6508,0.4127,0.0
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,176,0.017,0.3977,70,42,28,0.5857,0.7857,0.8095,0.25,0.5298,0.5595,0.0
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,176,0.017,0.4034,71,46,25,0.6056,0.7324,0.7609,0.32,0.5404,0.4409,0.0
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,176,0.017,0.3693,65,44,21,0.7385,0.8154,0.9091,0.381,0.645,0.5281,0.0
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,176,0.017,0.4148,73,40,33,0.5068,0.7945,0.775,0.1818,0.4784,0.5932,0.0
1_sft,native,please_respond,faulborn_nli_zeroshot,176,0.017,0.9943,175,88,87,0.3543,0.6686,0.5227,0.1839,0.3533,0.3388,0.0
