stage,render,prompt,polarity,n,errors,empty_rate,immediate_eos_rate,completed_within_200_rate,completed_within_600_rate,truncated_at_600_rate,output_tokens_p25,output_tokens_median,output_tokens_p75
0_base,raw,opinion,inv,88,0,0.3636,0.3636,0.0568,0.0682,0.5682,1.0,600.0,600.0
0_base,raw,opinion,orig,88,0,0.2273,0.2273,0.0455,0.1477,0.625,49.5,600.0,600.0
0_base,raw,please_respond,inv,88,0,0.0568,0.0568,0.1932,0.2273,0.7159,350.5,600.0,600.0
0_base,raw,please_respond,orig,88,0,0.0114,0.0114,0.2045,0.2159,0.7727,600.0,600.0,600.0
0_base,raw,stance_first,inv,88,0,0.0,0.0,0.0,0.0,1.0,600.0,600.0,600.0
0_base,raw,stance_first,orig,88,0,0.0,0.0,0.0114,0.0114,0.9886,600.0,600.0,600.0
1_sft,native,opinion,inv,88,0,0.0,0.0,0.2727,0.9886,0.0114,185.0,285.0,370.0
1_sft,native,opinion,orig,88,0,0.0,0.0,0.3068,1.0,0.0,125.75,289.5,394.0
1_sft,native,please_respond,inv,88,0,0.0,0.0,0.5682,0.9886,0.0114,80.75,121.5,331.25
1_sft,native,please_respond,orig,88,0,0.0,0.0,0.4886,0.9773,0.0227,91.75,208.5,338.75
1_sft,native,stance_first,inv,88,0,0.0,0.0,0.4545,1.0,0.0,132.75,238.0,320.5
1_sft,native,stance_first,orig,88,0,0.0,0.0,0.4773,1.0,0.0,127.75,235.0,323.0
1_sft,raw,opinion,inv,88,0,0.9432,0.9432,0.0,0.0,0.0568,1.0,1.0,1.0
1_sft,raw,opinion,orig,88,0,0.6591,0.6591,0.2159,0.2386,0.1023,1.0,1.0,2.0
1_sft,raw,please_respond,inv,88,0,0.6705,0.6705,0.0795,0.1591,0.1705,1.0,1.0,195.0
1_sft,raw,please_respond,orig,88,0,0.3182,0.3182,0.25,0.4205,0.2614,1.0,67.0,600.0
1_sft,raw,stance_first,inv,88,0,0.5114,0.5114,0.0795,0.1136,0.375,1.0,1.0,600.0
1_sft,raw,stance_first,orig,88,0,0.3523,0.3523,0.1591,0.1818,0.4659,1.0,112.5,600.0
2_dpo,native,opinion,inv,88,0,0.0,0.0,0.0,0.8523,0.1477,506.75,532.0,574.0
2_dpo,native,opinion,orig,88,0,0.0,0.0,0.0,0.8295,0.1705,496.75,530.5,578.0
2_dpo,native,please_respond,inv,88,0,0.0,0.0,0.0,0.9091,0.0909,485.0,530.0,570.5
2_dpo,native,please_respond,orig,88,0,0.0,0.0,0.0,0.8295,0.1705,455.25,510.5,577.5
2_dpo,native,stance_first,inv,88,0,0.0,0.0,0.0,0.9318,0.0682,462.75,505.5,535.75
2_dpo,native,stance_first,orig,88,0,0.0,0.0,0.0,0.9659,0.0341,448.25,500.0,528.25
2_dpo,raw,opinion,inv,88,0,0.5682,0.5682,0.0795,0.3864,0.0455,1.0,1.0,325.5
2_dpo,raw,opinion,orig,88,0,0.2955,0.2955,0.1136,0.5114,0.1932,1.0,319.0,498.0
2_dpo,raw,please_respond,inv,88,0,0.0682,0.0682,0.1477,0.8295,0.1023,215.5,370.0,488.0
2_dpo,raw,please_respond,orig,88,0,0.0,0.0,0.2045,0.9091,0.0909,257.5,383.5,487.0
2_dpo,raw,stance_first,inv,88,0,0.1705,0.1705,0.0227,0.6364,0.1932,255.75,365.5,534.75
2_dpo,raw,stance_first,orig,88,0,0.0795,0.0795,0.0341,0.5909,0.3295,328.75,447.0,600.0
3_rlvr2,native,opinion,inv,88,0,0.0,0.0,0.0,0.8636,0.1364,485.5,517.0,556.5
3_rlvr2,native,opinion,orig,88,0,0.0,0.0,0.0,0.9091,0.0909,469.0,517.5,552.0
3_rlvr2,native,please_respond,inv,88,0,0.0,0.0,0.0,0.875,0.125,447.75,500.0,556.0
3_rlvr2,native,please_respond,orig,88,0,0.0,0.0,0.0,0.9432,0.0568,450.75,496.5,549.5
3_rlvr2,native,stance_first,inv,88,0,0.0,0.0,0.0,0.9773,0.0227,446.0,474.5,508.0
3_rlvr2,native,stance_first,orig,88,0,0.0,0.0,0.0,0.9886,0.0114,431.75,467.5,502.75
3_rlvr2,raw,opinion,inv,88,0,0.4886,0.4886,0.1591,0.5,0.0114,1.0,15.5,332.0
3_rlvr2,raw,opinion,orig,88,0,0.2727,0.2727,0.2159,0.5682,0.1591,1.0,235.5,459.0
3_rlvr2,raw,please_respond,inv,88,0,0.0568,0.0568,0.2841,0.8636,0.0795,169.5,280.0,460.25
3_rlvr2,raw,please_respond,orig,88,0,0.0,0.0,0.3523,0.875,0.125,169.75,300.5,480.5
3_rlvr2,raw,stance_first,inv,88,0,0.1591,0.1591,0.0568,0.6818,0.1591,246.0,375.5,546.0
3_rlvr2,raw,stance_first,orig,88,0,0.0795,0.0795,0.0909,0.7386,0.1818,282.5,376.5,502.25
