stage,render,prompt,evaluator_id,n_items_both_directional,consistent_share,agrees_with_both_share,disagrees_with_both_share,pair_subset
0_base,raw,opinion,deterministic_stance_v1,1,0.0,1.0,0.0,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,4,0.25,0.25,0.5,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,3,0.3333,0.3333,0.3333,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,1,0.0,1.0,0.0,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,3,0.6667,0.3333,0.0,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,5,0.6,0.2,0.2,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,4,0.75,0.25,0.0,all_pairs
0_base,raw,opinion,faulborn_nli_zeroshot,42,0.4762,0.1429,0.381,all_pairs
0_base,raw,please_respond,deterministic_stance_v1,1,0.0,1.0,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,2,0.0,1.0,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,2,0.0,1.0,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,1,0.0,1.0,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,2,0.5,0.5,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,1,0.0,1.0,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,1,0.0,1.0,0.0,all_pairs
0_base,raw,please_respond,faulborn_nli_zeroshot,73,0.3973,0.1507,0.4521,all_pairs
0_base,raw,stance_first,faulborn_nli_zeroshot,82,0.4634,0.3171,0.2195,all_pairs
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed42,11,0.8182,0.1818,0.0,all_pairs
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed43,7,0.8571,0.1429,0.0,all_pairs
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed44,10,0.6,0.2,0.2,all_pairs
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,10,0.6,0.3,0.1,all_pairs
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,8,0.875,0.125,0.0,all_pairs
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,8,0.75,0.0,0.25,all_pairs
1_sft,native,opinion,faulborn_nli_zeroshot,87,0.4023,0.092,0.5057,all_pairs
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,19,0.8947,0.0526,0.0526,all_pairs
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,18,0.6667,0.2222,0.1111,all_pairs
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,20,0.8,0.1,0.1,all_pairs
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,18,0.8333,0.1111,0.0556,all_pairs
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,14,0.6429,0.2857,0.0714,all_pairs
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,23,0.6522,0.087,0.2609,all_pairs
1_sft,native,please_respond,faulborn_nli_zeroshot,87,0.5632,0.069,0.3678,all_pairs
1_sft,native,stance_first,deterministic_stance_v1,72,0.7778,0.1111,0.1111,all_pairs
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,88,0.7727,0.1023,0.125,all_pairs
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,88,0.7727,0.1023,0.125,all_pairs
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,88,0.7386,0.1023,0.1591,all_pairs
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,88,0.7727,0.1023,0.125,all_pairs
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,88,0.7727,0.1023,0.125,all_pairs
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,88,0.7727,0.1023,0.125,all_pairs
1_sft,native,stance_first,faulborn_nli_zeroshot,88,0.7727,0.1023,0.125,all_pairs
1_sft,raw,opinion,faulborn_nli_zeroshot,2,1.0,0.0,0.0,all_pairs
1_sft,raw,please_respond,deterministic_stance_v1,1,0.0,1.0,0.0,all_pairs
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,6,0.8333,0.1667,0.0,all_pairs
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,8,0.625,0.375,0.0,all_pairs
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,9,0.7778,0.2222,0.0,all_pairs
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,8,0.75,0.25,0.0,all_pairs
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,7,0.7143,0.2857,0.0,all_pairs
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,8,0.625,0.25,0.125,all_pairs
1_sft,raw,please_respond,faulborn_nli_zeroshot,22,0.5455,0.3182,0.1364,all_pairs
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,6,0.5,0.5,0.0,all_pairs
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,3,0.6667,0.3333,0.0,all_pairs
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,8,0.625,0.375,0.0,all_pairs
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,7,0.2857,0.5714,0.1429,all_pairs
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,4,0.5,0.5,0.0,all_pairs
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,3,0.3333,0.6667,0.0,all_pairs
1_sft,raw,stance_first,faulborn_nli_zeroshot,30,0.3333,0.3,0.3667,all_pairs
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed42,14,1.0,0.0,0.0,all_pairs
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed43,14,0.9286,0.0,0.0714,all_pairs
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed44,13,1.0,0.0,0.0,all_pairs
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,11,0.9091,0.0,0.0909,all_pairs
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,14,0.9286,0.0,0.0714,all_pairs
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,13,1.0,0.0,0.0,all_pairs
2_dpo,native,opinion,faulborn_nli_zeroshot,87,0.5747,0.0575,0.3678,all_pairs
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,15,1.0,0.0,0.0,all_pairs
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,15,0.8,0.2,0.0,all_pairs
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,16,0.8125,0.125,0.0625,all_pairs
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,11,0.7273,0.0,0.2727,all_pairs
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,14,0.8571,0.1429,0.0,all_pairs
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,14,0.9286,0.0714,0.0,all_pairs
2_dpo,native,please_respond,faulborn_nli_zeroshot,87,0.5632,0.1034,0.3333,all_pairs
2_dpo,native,stance_first,deterministic_stance_v1,49,0.8776,0.0204,0.102,all_pairs
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,81,0.7901,0.0741,0.1358,all_pairs
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,86,0.7907,0.0814,0.1279,all_pairs
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,87,0.7701,0.0805,0.1494,all_pairs
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,80,0.8,0.075,0.125,all_pairs
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,85,0.7765,0.0941,0.1294,all_pairs
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,83,0.7952,0.0723,0.1325,all_pairs
