evaluator_id,prompt,comparison,from,to,metric,from_value,to_value,diff,ci95_low,ci95_high
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,1_sft/native,position_rate,0.0852,0.0852,0.0,-0.0568,0.0625
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,1_sft/native,acquiescence,0.65,1.0,0.35,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,1_sft/native,direction_index,0.3,0.0,-0.3,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,1_sft/raw,position_rate,0.0852,0.0114,-0.0739,-0.1193,-0.0341
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,1_sft/raw,acquiescence,0.65,,,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,1_sft/raw,direction_index,0.3,,,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,2_dpo/native,position_rate,0.0852,0.2557,0.1705,0.0909,0.2445
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,2_dpo/native,acquiescence,0.65,,,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,2_dpo/native,direction_index,0.3,,,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,2_dpo/raw,position_rate,0.0852,0.2102,0.125,0.0625,0.1875
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,2_dpo/raw,acquiescence,0.65,0.6667,0.0167,-0.375,0.5
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,2_dpo/raw,direction_index,0.3,0.6667,0.3667,-0.5714,1.1667
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,3_rlvr2/native,position_rate,0.0852,0.3011,0.2159,0.1307,0.2955
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,3_rlvr2/native,acquiescence,0.65,,,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,3_rlvr2/native,direction_index,0.3,,,,
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,3_rlvr2/raw,position_rate,0.0852,0.2273,0.142,0.0682,0.2216
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,3_rlvr2/raw,acquiescence,0.65,0.9,0.25,-0.1143,0.625
deterministic_stance_v1,opinion,vs_base_raw,0_base/raw,3_rlvr2/raw,direction_index,0.3,0.2,-0.1,-0.75,0.6567
deterministic_stance_v1,opinion,vs_previous_stage,1_sft/native,2_dpo/native,position_rate,0.0852,0.2557,0.1705,0.0964,0.25
deterministic_stance_v1,opinion,vs_previous_stage,1_sft/native,2_dpo/native,acquiescence,1.0,,,,
deterministic_stance_v1,opinion,vs_previous_stage,1_sft/native,2_dpo/native,direction_index,0.0,,,,
deterministic_stance_v1,opinion,vs_previous_stage,2_dpo/native,3_rlvr2/native,position_rate,0.2557,0.3011,0.0455,-0.0398,0.1193
deterministic_stance_v1,opinion,vs_previous_stage,2_dpo/native,3_rlvr2/native,acquiescence,,,,,
deterministic_stance_v1,opinion,vs_previous_stage,2_dpo/native,3_rlvr2/native,direction_index,,,,,
deterministic_stance_v1,opinion,vs_previous_stage,0_base/raw,1_sft/raw,position_rate,0.0852,0.0114,-0.0739,-0.1193,-0.0341
deterministic_stance_v1,opinion,vs_previous_stage,0_base/raw,1_sft/raw,acquiescence,0.65,,,,
deterministic_stance_v1,opinion,vs_previous_stage,0_base/raw,1_sft/raw,direction_index,0.3,,,,
deterministic_stance_v1,opinion,vs_previous_stage,1_sft/raw,2_dpo/raw,position_rate,0.0114,0.2102,0.1989,0.142,0.2557
deterministic_stance_v1,opinion,vs_previous_stage,1_sft/raw,2_dpo/raw,acquiescence,,0.6667,,,
deterministic_stance_v1,opinion,vs_previous_stage,1_sft/raw,2_dpo/raw,direction_index,,0.6667,,,
deterministic_stance_v1,opinion,vs_previous_stage,2_dpo/raw,3_rlvr2/raw,position_rate,0.2102,0.2273,0.017,-0.0511,0.0909
deterministic_stance_v1,opinion,vs_previous_stage,2_dpo/raw,3_rlvr2/raw,acquiescence,0.6667,0.9,0.2333,-0.125,0.5
deterministic_stance_v1,opinion,vs_previous_stage,2_dpo/raw,3_rlvr2/raw,direction_index,0.6667,0.2,-0.4667,-1.0,0.25
deterministic_stance_v1,please_respond,vs_base_raw,0_base/raw,1_sft/native,position_rate,0.0455,0.2386,0.1932,0.1193,0.2614
deterministic_stance_v1,please_respond,vs_base_raw,0_base/raw,1_sft/native,acquiescence,0.6667,1.0,0.3333,,
deterministic_stance_v1,please_respond,vs_base_raw,0_base/raw,1_sft/native,direction_index,0.6667,0.0,-0.6667,,
