scope,evaluator_id,condition,n,truncated_share,position_rate,share_agreement,share_disagreement,share_mixed_or_conditional,share_neutral_or_no_position,share_safety_refusal
all,deterministic_stance_v1,anatomiae_ext_stance_first,30,0.6333,0.9667,0.2667,0.5667,0.1333,0.0,0.0333
all,deterministic_stance_v1,faulborn_released_opinion,30,0.8333,0.2,0.0,0.0,0.2,0.6333,0.1667
all,deterministic_stance_v1,faulborn_released_please_respond,30,0.6333,0.1667,0.0,0.0,0.1667,0.8333,0.0
all,faulborn_nli_reconstructed_as_written_seed42,anatomiae_ext_stance_first,30,0.6333,0.9667,0.3,0.6667,0.0,0.0333,0.0
all,faulborn_nli_reconstructed_as_written_seed42,faulborn_released_opinion,30,0.8333,0.3,0.1,0.2,0.0,0.7,0.0
all,faulborn_nli_reconstructed_as_written_seed42,faulborn_released_please_respond,30,0.6333,0.3333,0.2,0.1333,0.0,0.6667,0.0
all,faulborn_nli_reconstructed_as_written_seed43,anatomiae_ext_stance_first,30,0.6333,0.9667,0.3,0.6667,0.0,0.0333,0.0
all,faulborn_nli_reconstructed_as_written_seed43,faulborn_released_opinion,30,0.8333,0.2667,0.1,0.1667,0.0,0.7333,0.0
all,faulborn_nli_reconstructed_as_written_seed43,faulborn_released_please_respond,30,0.6333,0.3333,0.2333,0.1,0.0,0.6667,0.0
all,faulborn_nli_reconstructed_as_written_seed44,anatomiae_ext_stance_first,30,0.6333,0.9667,0.3,0.6667,0.0,0.0333,0.0
all,faulborn_nli_reconstructed_as_written_seed44,faulborn_released_opinion,30,0.8333,0.2667,0.1333,0.1333,0.0,0.7333,0.0
all,faulborn_nli_reconstructed_as_written_seed44,faulborn_released_please_respond,30,0.6333,0.4,0.2667,0.1333,0.0,0.6,0.0
all,faulborn_nli_reconstructed_leakage_free_seed42,anatomiae_ext_stance_first,30,0.6333,0.9667,0.3,0.6667,0.0,0.0333,0.0
all,faulborn_nli_reconstructed_leakage_free_seed42,faulborn_released_opinion,30,0.8333,0.2,0.0667,0.1333,0.0,0.8,0.0
all,faulborn_nli_reconstructed_leakage_free_seed42,faulborn_released_please_respond,30,0.6333,0.2333,0.1333,0.1,0.0,0.7667,0.0
all,faulborn_nli_reconstructed_leakage_free_seed43,anatomiae_ext_stance_first,30,0.6333,0.9667,0.3,0.6667,0.0,0.0333,0.0
all,faulborn_nli_reconstructed_leakage_free_seed43,faulborn_released_opinion,30,0.8333,0.3,0.1333,0.1667,0.0,0.7,0.0
all,faulborn_nli_reconstructed_leakage_free_seed43,faulborn_released_please_respond,30,0.6333,0.2667,0.2333,0.0333,0.0,0.7333,0.0
all,faulborn_nli_reconstructed_leakage_free_seed44,anatomiae_ext_stance_first,30,0.6333,1.0,0.3333,0.6667,0.0,0.0,0.0
all,faulborn_nli_reconstructed_leakage_free_seed44,faulborn_released_opinion,30,0.8333,0.3,0.1,0.2,0.0,0.7,0.0
all,faulborn_nli_reconstructed_leakage_free_seed44,faulborn_released_please_respond,30,0.6333,0.3,0.1667,0.1333,0.0,0.7,0.0
all,faulborn_nli_zeroshot,anatomiae_ext_stance_first,30,0.6333,1.0,0.3333,0.6667,0.0,0.0,0.0
all,faulborn_nli_zeroshot,faulborn_released_opinion,30,0.8333,1.0,0.2333,0.7667,0.0,0.0,0.0
all,faulborn_nli_zeroshot,faulborn_released_please_respond,30,0.6333,1.0,0.4,0.6,0.0,0.0,0.0
completed_only,deterministic_stance_v1,anatomiae_ext_stance_first,11,0.0,0.9091,0.3636,0.2727,0.2727,0.0,0.0909
completed_only,deterministic_stance_v1,faulborn_released_opinion,5,0.0,0.4,0.0,0.0,0.4,0.6,0.0
completed_only,deterministic_stance_v1,faulborn_released_please_respond,11,0.0,0.2727,0.0,0.0,0.2727,0.7273,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed42,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed42,faulborn_released_opinion,5,0.0,0.6,0.2,0.4,0.0,0.4,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed42,faulborn_released_please_respond,11,0.0,0.3636,0.1818,0.1818,0.0,0.6364,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed43,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed43,faulborn_released_opinion,5,0.0,0.6,0.2,0.4,0.0,0.4,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed43,faulborn_released_please_respond,11,0.0,0.3636,0.1818,0.1818,0.0,0.6364,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed44,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed44,faulborn_released_opinion,5,0.0,0.8,0.2,0.6,0.0,0.2,0.0
completed_only,faulborn_nli_reconstructed_as_written_seed44,faulborn_released_please_respond,11,0.0,0.4545,0.2727,0.1818,0.0,0.5455,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed42,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed42,faulborn_released_opinion,5,0.0,0.2,0.0,0.2,0.0,0.8,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed42,faulborn_released_please_respond,11,0.0,0.2727,0.1818,0.0909,0.0,0.7273,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed43,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed43,faulborn_released_opinion,5,0.0,0.6,0.2,0.4,0.0,0.4,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed43,faulborn_released_please_respond,11,0.0,0.2727,0.1818,0.0909,0.0,0.7273,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed44,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed44,faulborn_released_opinion,5,0.0,0.4,0.2,0.2,0.0,0.6,0.0
completed_only,faulborn_nli_reconstructed_leakage_free_seed44,faulborn_released_please_respond,11,0.0,0.3636,0.1818,0.1818,0.0,0.6364,0.0
completed_only,faulborn_nli_zeroshot,anatomiae_ext_stance_first,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
completed_only,faulborn_nli_zeroshot,faulborn_released_opinion,5,0.0,1.0,0.2,0.8,0.0,0.0,0.0
completed_only,faulborn_nli_zeroshot,faulborn_released_please_respond,11,0.0,1.0,0.4545,0.5455,0.0,0.0,0.0
